searchterm,userid,created_year,created_month,created_date,created_hour,created_min,created_sec,retweet_count,favorite_count,friends_count,followers_count,tweet
progressiveinsurance,918195358932619271,2018,05,15,15,52,15,0,0,50,0,#ProgressiveInsurance #GuardianLifeInsurance Insurance agent says Schenectady man called to collect on murdered fr… https://t.co/Vxl8trHDhJ
progressiveinsurance,918194767107936260,2018,05,16,12,47,16,0,0,20,1,#AarpInsurance #ProgressiveInsurance GEICO's Top Tips to Help Prepare for Hailstorms https://t.co/T9jSJyvNah https://t.co/QSoQtMLCXj
progressiveinsurance,918224562436890625,2018,05,21,15,12,21,0,0,21,1,#CitizensInsurance #ProgressiveInsurance BRIEF-Citizens Inc Says Decided To Discontinue Accepting Life Insurance A… https://t.co/68g4yWgjSJ
progressiveinsurance,918936072125648903,2018,05,21,16,38,21,0,0,50,0,#ProgressiveInsurance #ChubbInsurance Ringleader in $23M insurance fraud lived 'lavish lifestyle' with Bentley $6… https://t.co/VaQVZ3o9VI
progressiveinsurance,918199913040744453,2018,05,16,14,36,16,0,0,46,1,#CheapCarInsurance #ProgressiveInsurance Mercury Insurance Group (NYSE:MCY) to Issue $0.63 Quarterly Dividend… https://t.co/sI7irUT4Ms
progressiveinsurance,918199182812499968,2018,05,15,13,12,15,0,0,60,1,#ProgressiveInsurance #GeicoInsurance Mercury Insurance Group (NYSE:MCY) to Issue $0.63 Quarterly Dividend… https://t.co/LkCo0SWk94
progressiveinsurance,918197809987366912,2018,05,16,11,38,16,0,0,62,3,#AigInsurance #ProgressiveInsurance Ringleader in $23M insurance fraud lived 'lavish lifestyle' with Bentley $64G… https://t.co/7jlenUy6OT
progressiveinsurance,918927524679254016,2018,05,21,14,35,21,0,0,44,1,#CitizensInsurance #ProgressiveInsurance Health Insurance Companies Mostly Ask for Rate Increases… https://t.co/TST8N8YrvM
progressiveinsurance,18895631,2018,05,19,02,42,19,0,0,3049,1074,@Progressive Why do your commercials featuring the spokesman Jamie seem antagonistic to your product? An entire co… https://t.co/271GaYL3lB
progressiveinsurance,918934438599385088,2018,05,15,15,50,15,0,0,63,1,#MarketplaceInsurance #ProgressiveInsurance Consumers Brace For Premium Hikes While Lawmakers Grasp At Remedies… https://t.co/fvyhuXOGqB
